Date,Dernier ((EUR/MWh),Ouv., Plus Haut,Plus Bas
26/12/2017,"19,665","19,665","19,665","19,665"
27/12/2017,"19,19","19,19","19,19","19,19"
28/12/2017,"19,705","19,705","19,705","19,705"
29/12/2017,"19,62","19,62","19,62","19,62"
02/01/2018,"19,32","19,32","19,32","19,32"
03/01/2018,"19,325","19,325","19,325","19,325"
04/01/2018,"19,2","19,2","19,2","19,2"
05/01/2018,"18,915","18,915","18,915","18,915"
08/01/2018,"19,05","19,05","19,05","19,05"
09/01/2018,"19,435","19,435","19,435","19,435"
10/01/2018,"19,325","19,325","19,325","19,325"
11/01/2018,"19,32","19,32","19,32","19,32"
12/01/2018,"19,805","19,805","19,805","19,805"
16/01/2018,"18,9","18,9","18,9","18,9"
17/01/2018,"18,44","18,44","18,44","18,44"
18/01/2018,"18,35","18,35","18,35","18,35"
19/01/2018,"18,19","18,19","18,19","18,19"
22/01/2018,"18,545","18,545","18,545","18,545"
23/01/2018,"18,2","18,2","18,2","18,2"
24/01/2018,"17,79","17,79","17,79","17,79"
25/01/2018,"17,78","17,78","17,78","17,78"
26/01/2018,"17,78","17,78","17,78","17,78"
29/01/2018,"17,395","17,395","17,395","17,395"
30/01/2018,"17,41","17,41","17,41","17,41"
31/01/2018,"17,88","17,88","17,88","17,88"
01/02/2018,"18,15","18,15","18,15","18,15"
02/02/2018,"18,16","18,16","18,16","18,16"
05/02/2018,"17,59","17,59","17,59","17,59"
06/02/2018,"17,88","17,88","17,88","17,88"
07/02/2018,"18,155","18,155","18,155","18,155"
08/02/2018,"17,74","17,74","17,74","17,74"
09/02/2018,"17,9","17,9","17,9","17,9"
12/02/2018,"17,95","17,95","17,95","17,95"
13/02/2018,"18,305","18,305","18,305","18,305"
14/02/2018,"18,075","18,075","18,075","18,075"
15/02/2018,"17,79","17,79","17,79","17,79"
16/02/2018,"18,165","18,165","18,165","18,165"
20/02/2018,"19,77","19,77","19,77","19,77"
21/02/2018,"19,78","19,78","19,78","19,78"
22/02/2018,"19,94","19,94","19,94","19,94"
23/02/2018,"20,41","20,41","20,41","20,41"
26/02/2018,"18,69","18,69","18,69","18,69"
27/02/2018,"19,195","19,195","19,195","19,195"
28/02/2018,"17,35","17,35","17,35","17,35"
01/03/2018,"17,56","17,56","17,56","17,56"
02/03/2018,"17,805","17,805","17,805","17,805"
05/03/2018,"17,515","17,515","17,515","17,515"
06/03/2018,"17,7","17,7","17,7","17,7"
07/03/2018,"17,83","17,83","17,83","17,83"
08/03/2018,"18,315","18,315","18,315","18,315"
09/03/2018,"18,94","18,94","18,94","18,94"
12/03/2018,"19,71","19,71","19,71","19,71"
13/03/2018,"19,465","19,465","19,465","19,465"
14/03/2018,"18,615","18,615","18,615","18,615"
15/03/2018,"18,8","18,8","18,8","18,8"
16/03/2018,"18,655","18,655","18,655","18,655"
19/03/2018,"18,7","18,7","18,7","18,7"
20/03/2018,"19,175","19,175","19,175","19,175"
21/03/2018,"19,39","19,39","19,39","19,39"
22/03/2018,"19,01","19,01","19,01","19,01"
23/03/2018,"18,445","18,445","18,445","18,445"
26/03/2018,"17,99","17,99","17,99","17,99"
27/03/2018,"18,495","18,495","18,495","18,495"
28/03/2018,"18,37","18,37","18,37","18,37"
29/03/2018,"18,225","18,225","18,225","18,225"
02/04/2018,"18,225","18,225","18,225","18,225"
03/04/2018,"18,04","18,04","18,04","18,04"
04/04/2018,"18,185","18,185","18,185","18,185"
05/04/2018,"18,13","18,13","18,13","18,13"
06/04/2018,"18,18","18,18","18,18","18,18"
09/04/2018,"18,645","18,645","18,645","18,645"
10/04/2018,"18,84","18,84","18,84","18,84"
11/04/2018,"19,255","19,255","19,255","19,255"
12/04/2018,"19,215","19,215","19,215","19,215"
13/04/2018,"19,57","19,57","19,57","19,57"
16/04/2018,"19,35","19,35","19,35","19,35"
17/04/2018,"19,015","19,015","19,015","19,015"
18/04/2018,"19,31","19,31","19,31","19,31"
19/04/2018,"19,86","19,52","19,52","19,52"
20/04/2018,"19,8","19,835","19,835","19,835"
23/04/2018,"19,89","19,89","19,89","19,89"
24/04/2018,"19,675","19,635","19,635","19,625"
25/04/2018,"19,88","19,55","19,56","19,55"
26/04/2018,"20,15","20,15","20,15","20,15"
27/04/2018,"20,265","20,265","20,265","20,265"
30/04/2018,"20,56","20,56","20,56","20,56"
01/05/2018,"20,095","20,095","20,095","20,095"
02/05/2018,"19,865","19,865","19,865","19,865"
03/05/2018,"19,95","19,95","19,95","19,95"
04/05/2018,"20,42","20,42","20,42","20,42"
07/05/2018,"20,42","20,42","20,42","20,42"
08/05/2018,"20,6","20,6","20,6","20,6"
09/05/2018,"20,845","21,135","21,135","20,84"
10/05/2018,"21,005","21,005","21,005","21,005"
11/05/2018,"21,265","21,265","21,265","21,265"
14/05/2018,"21,625","21,625","21,625","21,625"
15/05/2018,"21,54","21,54","21,54","21,54"
16/05/2018,"21,67","21,395","21,395","21,395"
17/05/2018,"22,3","22,3","22,3","22,3"
18/05/2018,"22,055","22,055","22,055","22,055"
21/05/2018,"22,375","22,375","22,375","22,375"
22/05/2018,"22,905","22,905","22,905","22,905"
23/05/2018,"22,715","22,715","22,715","22,715"
24/05/2018,"22,695","22,695","22,695","22,695"
25/05/2018,"21,805","22,26","22,26","22,13"
29/05/2018,"22,655","22,655","22,655","22,655"
30/05/2018,"22,985","22,985","22,985","22,985"
31/05/2018,"22,58","22,58","22,58","22,58"
01/06/2018,"21,775","21,775","21,775","21,775"
04/06/2018,"21,905","21,905","21,905","21,905"
05/06/2018,"21,43","21,43","21,43","21,43"
06/06/2018,"21,32","21,32","21,32","21,32"
07/06/2018,"21,665","21,665","21,665","21,665"
08/06/2018,"21,54","21,54","21,54","21,54"
11/06/2018,"21,35","21,35","21,35","21,35"
12/06/2018,"21,785","21,785","21,785","21,785"
13/06/2018,"22,38","22,38","22,38","22,38"
14/06/2018,"22,355","22,355","22,355","22,355"
15/06/2018,"21,75","21,75","21,75","21,75"
18/06/2018,"22,14","22,14","22,14","22,14"
19/06/2018,"21,695","21,695","21,695","21,695"
20/06/2018,"21,5","21,5","21,5","21,5"
21/06/2018,"21,545","21,545","21,545","21,545"
22/06/2018,"21,655","21,655","21,655","21,655"
25/06/2018,"21,545","21,63","21,63","21,63"
26/06/2018,"21,495","21,495","21,495","21,495"
27/06/2018,"22,035","22,035","22,035","22,035"
28/06/2018,"21,96","21,96","21,96","21,96"
29/06/2018,"21,875","21,875","21,875","21,875"
02/07/2018,"22,24","22,24","22,24","22,24"
03/07/2018,"22,26","22,26","22,26","22,26"
05/07/2018,"22,465","22,465","22,465","22,465"
06/07/2018,"22,355","22,355","22,355","22,355"
09/07/2018,"22,73","22,73","22,73","22,73"
10/07/2018,"22,73","22,73","22,73","22,73"
11/07/2018,"22,58","22,58","22,58","22,58"
12/07/2018,"21,97","21,97","21,97","21,97"
13/07/2018,"22,265","22,265","22,265","22,265"
16/07/2018,"22,02","22,02","22,02","22,02"
17/07/2018,"21,85","21,85","21,85","21,85"
18/07/2018,"22,14","22,14","22,14","22,14"
19/07/2018,"22,155","22,3","22,3","22,3"
20/07/2018,"21,875","21,875","21,875","21,875"
23/07/2018,"22,03","22,03","22,03","22,03"
24/07/2018,"22,095","22,095","22,095","22,095"
25/07/2018,"22,17","22,17","22,17","22,17"
26/07/2018,"22,115","22,115","22,115","22,115"
27/07/2018,"21,89","21,89","21,89","21,89"
30/07/2018,"22,06","22,06","22,06","22,06"
31/07/2018,"22,115","22,115","22,115","22,115"
01/08/2018,"21,93","21,93","21,93","21,93"
02/08/2018,"21,935",22,22,22
03/08/2018,"22,26","22,26","22,26","22,26"
06/08/2018,"22,5","22,5","22,5","22,5"
07/08/2018,"22,61","22,8","22,8","22,775"
08/08/2018,"22,6","22,675","22,675","22,65"
09/08/2018,"22,715","22,775","22,8","22,775"
10/08/2018,"22,88","22,625","22,625","22,595"
13/08/2018,"23,5","23,5","23,5","23,5"
14/08/2018,"23,725","23,78","23,78","23,78"
15/08/2018,"23,52","23,525","23,525","23,47"
16/08/2018,"23,835","23,88","23,88","23,85"
17/08/2018,"24,155","24,16","24,185","24,16"
20/08/2018,"24,18","23,915","24,18","23,82"
21/08/2018,"24,405","24,405","24,405","24,405"
22/08/2018,"24,45","24,725","24,725","24,41"
23/08/2018,"24,76","24,825","24,825","24,71"
24/08/2018,"24,975","24,875","24,895","24,875"
27/08/2018,"25,41","25,41","25,41","25,41"
28/08/2018,"25,36","25,5","25,5","25,5"
29/08/2018,"25,87","25,87","25,87","25,87"
30/08/2018,"26,13","26,13","26,13","26,13"
31/08/2018,"25,835","26,025","26,025","26,025"
04/09/2018,"26,71","26,965","26,965","26,665"
05/09/2018,"27,02","27,02","27,02","27,02"
06/09/2018,"27,455","27,42","27,42","27,41"
07/09/2018,"27,99","28,025","28,025","28,025"
10/09/2018,"29,125","28,59","28,775","28,54"
11/09/2018,"28,78","28,27","28,65","28,25"
12/09/2018,"27,495","27,64","28,145","27,46"
13/09/2018,"26,81","27,335","27,375","26,655"
14/09/2018,"26,93","27,025","27,11","26,785"
17/09/2018,"28,075","28,195","28,195","27,815"
18/09/2018,"27,41","27,585","27,585","27,275"
19/09/2018,"28,32","27,735","28,38","27,735"
20/09/2018,"28,59","28,83","29,07","28,595"
21/09/2018,"28,725","28,105","28,79","28,055"
24/09/2018,"29,245","29,49","29,56","29,3"
25/09/2018,"29,23","29,355","29,535","28,815"
26/09/2018,"28,26","28,26","28,26","28,26"
27/09/2018,"27,575","27,575","27,575","27,575"
28/09/2018,"27,33","27,9","27,9","27,445"
01/10/2018,"27,445","26,735","27,355","26,585"
02/10/2018,"27,255","27,86","27,86","27,425"
03/10/2018,"27,115","27,115","27,115","27,115"
04/10/2018,"27,47","27,47","27,47","27,47"
05/10/2018,"27,9","27,9","27,9","27,9"
08/10/2018,"27,22","27,22","27,22","27,22"
09/10/2018,"26,835","26,835","26,835","26,835"
10/10/2018,"26,22","26,625","26,625","26,625"
11/10/2018,"25,76","25,925","25,925","25,925"
12/10/2018,"26,63","26,63","26,63","26,63"
15/10/2018,"26,625","27,05","27,05","27,05"
16/10/2018,"26,33","26,33","26,33","26,33"
17/10/2018,"25,94","25,625","25,625","25,625"
18/10/2018,"26,025","26,025","26,025","26,025"
19/10/2018,"26,86","26,86","26,86","26,86"
22/10/2018,"26,115","26,115","26,115","26,115"
23/10/2018,"25,665","25,665","25,665","25,665"
24/10/2018,"25,26","25,26","25,26","25,26"
25/10/2018,"24,865","24,865","24,865","24,865"
26/10/2018,"24,28","24,28","24,28","24,28"
29/10/2018,"24,58","24,58","24,58","24,58"
30/10/2018,"23,875","23,875","23,875","23,875"
31/10/2018,"24,335","24,335","24,335","24,335"
01/11/2018,"23,65","23,975","23,975","23,975"
02/11/2018,"24,285","23,905","23,97","23,905"
05/11/2018,"23,81","23,81","23,81","23,81"
06/11/2018,"23,895","23,625","23,77","23,625"
07/11/2018,"24,42","24,33","24,445","24,33"
08/11/2018,"24,43","24,63","24,63","24,63"
09/11/2018,"24,325","24,76","24,76","24,545"
12/11/2018,"25,955","25,625","25,905","25,625"
13/11/2018,"26,52","26,235","26,58","26,235"
14/11/2018,"26,28","26,26","26,475","26,26"
15/11/2018,"26,675","26,15","26,72","26,15"
16/11/2018,"25,955","26,725","26,725","25,65"
19/11/2018,"24,15","24,31","24,39","24,31"
20/11/2018,"24,35","24,43","24,5","24,265"
21/11/2018,"24,5","24,195","24,42","24,195"
23/11/2018,"24,82","24,035","25,17","24,035"
26/11/2018,"24,545","24,27","24,55","24,115"
27/11/2018,"25,16","24,795","24,995","24,79"
28/11/2018,"24,3","24,4","24,4","24,4"
29/11/2018,"24,635","24,635","24,635","24,635"
30/11/2018,"24,69","24,69","24,69","24,69"
03/12/2018,"25,085","25,085","25,085","25,085"
04/12/2018,"24,415","24,395","24,395","24,375"
05/12/2018,"23,82","24,11","24,11","24,11"
06/12/2018,"23,165","23,305","23,395","23,135"
07/12/2018,"23,145","22,84","23,175","22,84"
10/12/2018,"23,25","23,265","23,3","23,265"
11/12/2018,"23,62","23,545","23,63","23,545"
12/12/2018,"23,92","24,05","24,19","24,05"
13/12/2018,"24,225","24,375","24,375","24,375"
14/12/2018,"24,645","24,665","24,79","24,66"
17/12/2018,"24,68","24,65","24,65","24,65"
18/12/2018,"23,73","24,035","24,035","23,725"
19/12/2018,"24,21","24,21","24,21","24,21"
20/12/2018,"24,605","24,605","24,605","24,605"
21/12/2018,"24,9","24,65","24,745","24,65"
24/12/2018,"24,245","24,735","24,76","24,275"
26/12/2018,"24,245","24,245","24,245","24,245"
27/12/2018,"23,32","23,32","23,32","23,32"
28/12/2018,"22,81","22,81","22,81","22,81"
31/12/2018,"21,98","22,26","22,26","22,18"
02/01/2019,"22,475","22,28","22,55","22,145"
03/01/2019,"22,255","22,215","22,215","22,115"
04/01/2019,"22,93","22,845","22,955","22,81"
07/01/2019,"21,53","21,91","21,91","21,47"
08/01/2019,"22,09","22,165","22,165","22,165"
09/01/2019,"21,72","22,515","22,515","21,745"
10/01/2019,"21,675","21,705","21,705","21,705"
11/01/2019,"22,255","22,39","22,39","22,085"
14/01/2019,"21,675","21,91","21,91","21,685"
15/01/2019,22,"22,035","22,035","21,945"
16/01/2019,"22,005","22,3","22,3","22,095"
17/01/2019,"22,995","22,64","23,135","22,64"
18/01/2019,"22,605","22,84","23,015","22,525"
22/01/2019,"21,815","21,805","21,885","21,605"
23/01/2019,"22,19","22,225","22,3","22,13"
24/01/2019,"21,28","21,72","21,815","21,36"
25/01/2019,"20,89","20,735","20,895","20,69"
28/01/2019,"20,55","20,52","20,52","20,5"
29/01/2019,"20,585","20,6","20,6","20,6"
30/01/2019,"20,18","20,18","20,18","20,18"
31/01/2019,"19,85","19,665","19,665","19,665"
01/02/2019,"19,3","19,3","19,3","19,3"
04/02/2019,"19,355","19,355","19,355","19,355"
05/02/2019,"19,14","19,14","19,14","19,14"
06/02/2019,"18,915","19,075","19,15","18,95"
07/02/2019,"18,91","19,185","19,185","18,86"
08/02/2019,"18,265","18,515","18,515","18,265"
11/02/2019,"18,055","17,825","18,125","17,75"
12/02/2019,"17,785",18,18,"17,875"
13/02/2019,"18,02","17,8","17,875","17,8"
14/02/2019,"17,755","18,165","18,165","17,81"
15/02/2019,"18,1","18,1","18,1","18,1"
19/02/2019,"17,705","17,75","17,83","17,75"
20/02/2019,"18,145","18,145","18,145","18,145"
21/02/2019,"17,52","17,52","17,52","17,52"
22/02/2019,"17,23","17,23","17,23","17,23"
25/02/2019,"16,945",17,17,17
26/02/2019,"17,045","17,045","17,045","17,045"
27/02/2019,"17,615","17,325","17,635","17,325"
28/02/2019,"17,815","17,815","17,815","17,815"
01/03/2019,"17,32","17,32","17,32","17,32"
04/03/2019,"17,4","17,375","17,5","17,375"
05/03/2019,"17,18","17,475","17,475","17,175"
06/03/2019,"16,85","17,025","17,05",17
07/03/2019,"16,87","16,95","16,95","16,75"
08/03/2019,"16,73","16,85","16,85","16,72"
11/03/2019,"16,625","16,7","16,7","16,59"
12/03/2019,"16,21","16,425","16,525","16,05"
13/03/2019,"15,725","15,725","15,725","15,725"
14/03/2019,"15,605","15,825","15,825","15,6"
15/03/2019,"15,25","15,485","15,485","15,275"
18/03/2019,"14,98","14,9","15,175","14,9"
19/03/2019,"15,005","15,2","15,25","14,975"
20/03/2019,"15,215","15,075","15,075","15,075"
21/03/2019,"14,565","14,92","14,92","14,55"
22/03/2019,"14,455","14,425","14,455","14,355"
25/03/2019,"14,185","14,185","14,185","14,175"
26/03/2019,"14,385","14,2","14,415","14,2"
27/03/2019,"14,995","14,5","14,675","14,5"
28/03/2019,"14,43","14,8","14,875","14,8"
29/03/2019,"14,215","14,225","14,225","14,225"
01/04/2019,"13,845","13,845","13,845","13,845"
02/04/2019,"13,455","13,455","13,455","13,455"
03/04/2019,"14,19","13,7","13,7","13,7"
04/04/2019,"14,805","14,6","14,6","14,6"
05/04/2019,"16,635","16,635","16,635","16,635"
08/04/2019,"15,965","16,575","16,95","16,2"
09/04/2019,"16,755","16,755","16,755","16,755"
10/04/2019,"15,73","15,73","15,73","15,73"
11/04/2019,"15,995","15,55","15,9","15,55"
12/04/2019,"15,855","15,895","15,9","15,8"
15/04/2019,"15,01","15,64","15,64","15,285"
16/04/2019,"14,835","14,85","14,85","14,85"
17/04/2019,"15,195","15,195","15,195","15,195"
18/04/2019,"14,46",15,15,15
22/04/2019,"14,46","14,46","14,46","14,46"
23/04/2019,"14,42","14,105","14,5","14,105"
24/04/2019,"14,265","14,425","14,425","14,425"
25/04/2019,"14,535","14,535","14,535","14,535"
26/04/2019,"14,425","14,725","14,775","14,675"
29/04/2019,"14,525","14,525","14,525","14,525"
30/04/2019,"14,39","14,425","14,425","14,425"
01/05/2019,"14,055","14,1","14,1","14,05"
02/05/2019,"14,365","14,365","14,365","14,365"
03/05/2019,"14,565","14,565","14,565","14,565"
06/05/2019,"14,335","14,335","14,335","14,335"
07/05/2019,"14,155","14,325","14,325","14,125"
08/05/2019,"14,32","14,175","14,35","14,15"
09/05/2019,"14,455","14,455","14,455","14,455"
10/05/2019,"13,995","13,995","13,995","13,995"
13/05/2019,"13,76","13,76","13,76","13,76"
14/05/2019,"13,785","13,785","13,785","13,785"
15/05/2019,"13,855","13,855","13,855","13,855"
16/05/2019,"13,385","13,385","13,385","13,385"
17/05/2019,"12,855","12,935","12,935","12,935"
20/05/2019,"12,905","12,905","12,905","12,905"
21/05/2019,"12,705","12,6","12,6","12,6"
22/05/2019,"12,65","12,885","12,885","12,885"
23/05/2019,"12,595","12,595","12,595","12,595"
24/05/2019,"12,25","12,435","12,435","12,415"
28/05/2019,"12,52","12,52","12,52","12,52"
29/05/2019,"12,225","12,225","12,225","12,225"
30/05/2019,"11,475","11,475","11,475","11,475"
31/05/2019,"11,205","11,205","11,205","11,205"
03/06/2019,"11,1","11,1","11,1","11,1"
04/06/2019,"11,91","11,91","11,91","11,91"
05/06/2019,"11,6","11,6","11,6","11,6"
06/06/2019,"11,105","11,32","11,32","11,32"
07/06/2019,"11,52","11,245","11,475","11,245"
10/06/2019,"11,805","11,65","11,65","11,65"
11/06/2019,"11,2","11,48","11,48","11,48"
12/06/2019,"11,14","11,205","11,205","11,205"
13/06/2019,"11,395","11,52","11,63","11,35"
14/06/2019,"11,32","11,35","11,35","11,35"
17/06/2019,"11,57","11,355","11,355","11,28"
18/06/2019,"11,035","11,4","11,4","11,275"
19/06/2019,"10,485","10,485","10,485","10,485"
20/06/2019,"10,15","10,15","10,15","10,15"
21/06/2019,"10,355","9,8","10,295","9,775"
24/06/2019,"10,2","10,2","10,2","10,2"
25/06/2019,"9,845","9,875","9,875","9,875"
26/06/2019,"9,62","9,62","9,62","9,62"
27/06/2019,"9,375","9,375","9,375","9,375"
28/06/2019,"10,115","9,75","9,765","9,75"
01/07/2019,"10,365","10,57","10,675","10,25"
02/07/2019,"10,225","10,65","10,855","10,25"
03/07/2019,"10,295","10,375","10,375","10,175"
05/07/2019,"11,215","10,575","11,245","10,255"
08/07/2019,"11,88","11,105","12,075","11,105"
09/07/2019,"11,76","12,225","12,675","11,85"
10/07/2019,"12,135","11,35","12,125","11,35"
11/07/2019,"13,13","12,725","12,85","12,3"
12/07/2019,"13,28","12,65","13,15","12,65"
15/07/2019,"12,895","13,725","13,725","13,41"
16/07/2019,"11,415","12,13","12,13","12,13"
17/07/2019,"10,99",11,"11,275","10,825"
18/07/2019,"10,735","11,075","11,125","10,625"
19/07/2019,"10,815","10,9","10,9","10,9"
22/07/2019,"10,16","10,9","10,95","10,375"
23/07/2019,"10,75","10,125","10,4","10,125"
24/07/2019,"10,075","10,375","10,475","10,2"
25/07/2019,"10,025","10,25","10,275","10,05"
26/07/2019,"9,965",10,"10,125","9,875"
29/07/2019,"9,81","10,075","10,15","9,75"
30/07/2019,"9,79","9,85","9,9","9,725"
31/07/2019,11,11,11,11
01/08/2019,"12,36","11,675","12,345","11,55"
02/08/2019,"12,015","11,96","12,655","11,96"
05/08/2019,"11,465","11,975","12,15","11,375"
06/08/2019,"10,95","11,175","11,25","10,875"
07/08/2019,"11,41",11,"11,4","10,9"
08/08/2019,"12,075","11,25","12,04","11,2"
09/08/2019,"12,025","12,05","12,2","11,795"
12/08/2019,"11,42","11,95","12,05","11,38"
13/08/2019,"11,86","11,45","11,75","11,45"
14/08/2019,"11,18","11,5","11,6","11,225"
15/08/2019,"11,225","11,15","11,25","11,075"
16/08/2019,"10,955","11,175","11,35","10,925"
19/08/2019,"10,785","10,8","11,1","10,76"
20/08/2019,"11,215","11,3","11,305","11,225"
21/08/2019,"11,415","11,2","11,7","11,2"
22/08/2019,"10,99","11,275","11,375","10,98"
23/08/2019,"10,585","10,825","10,825","10,65"
26/08/2019,"10,315","10,315","10,315","10,315"
27/08/2019,"10,07","10,15","10,25","10,15"
28/08/2019,"10,235","10,35","10,35","10,225"
29/08/2019,"10,715","10,425","10,64","10,425"
30/08/2019,"12,795","12,795","12,795","12,795"
03/09/2019,"12,1","11,95","12,125","11,675"
04/09/2019,"11,96","12,15","12,15","12,1"
05/09/2019,"12,235","11,8",12,"11,8"
06/09/2019,"12,35","12,175","12,175","12,1"
09/09/2019,"12,235","12,675","12,675","12,3"
10/09/2019,"14,405","12,35","13,8","12,35"
11/09/2019,"14,355","14,05","14,495","14,05"
12/09/2019,"14,465","14,545","14,545","14,545"
13/09/2019,"14,71","15,65","15,65","15,645"
16/09/2019,"15,335","15,155","15,155","15,155"
17/09/2019,"13,44","14,175","14,175","13,525"
18/09/2019,"12,435","12,8","12,8","12,535"
19/09/2019,"12,255","12,255","12,255","12,255"
20/09/2019,"12,71","12,575","12,575","12,575"
23/09/2019,"12,245","12,245","12,245","12,245"
24/09/2019,"12,34","12,175","12,6","12,175"
25/09/2019,"11,95","11,935","12,05","11,935"
26/09/2019,"12,045","12,045","12,045","12,045"
27/09/2019,"11,94","11,94","11,94","11,94"
30/09/2019,"16,39","16,68","16,69","16,68"
01/10/2019,"16,76","16,25","16,725","16,185"
02/10/2019,"16,005","16,3","16,3","15,925"
03/10/2019,"16,01",16,"16,225","15,85"
04/10/2019,"15,77","16,35","16,5","15,75"
07/10/2019,"15,505","15,2","15,475","15,2"
08/10/2019,"15,64","15,65","15,7","15,425"
09/10/2019,"15,575","15,3","15,925","15,3"
10/10/2019,"15,85","15,825","15,825","15,475"
11/10/2019,"16,135","16,125","16,15","15,825"
14/10/2019,"16,04","15,95","15,95","15,95"
15/10/2019,"16,065","16,05","16,05","16,05"
16/10/2019,"16,075","16,225","16,245","16,15"
17/10/2019,"16,025","15,825","16,05","15,75"
18/10/2019,"15,965","16,245","16,245","15,875"
21/10/2019,"15,61","16,21","16,21","15,65"
22/10/2019,"15,595","15,75","15,75","15,75"
23/10/2019,"15,415","15,3","15,45","15,3"
24/10/2019,"15,655","15,15","15,65","15,15"
25/10/2019,"15,235","15,55","15,55","15,4"
28/10/2019,"14,39","14,575","14,65","14,45"
29/10/2019,"13,835","14,5","14,5","14,4"
30/10/2019,"13,78","13,625","13,625","13,625"
31/10/2019,"16,135","16,05","16,175","16,025"
01/11/2019,"16,175","16,35","16,35","16,175"
04/11/2019,"16,48","16,3","16,675","16,15"
05/11/2019,"16,79","16,75","16,905","16,7"
06/11/2019,"16,28","16,575","16,575","16,3"
07/11/2019,"16,12","16,225","16,3","16,14"
08/11/2019,"15,94","16,175","16,2","15,875"
11/11/2019,"15,845","15,875","15,925","15,825"
12/11/2019,"15,545","15,6","15,6","15,48"
13/11/2019,"15,45","15,275","15,475","15,275"
14/11/2019,"15,67","15,45","15,7","15,45"
15/11/2019,"15,715","15,4","15,725","15,4"
18/11/2019,"15,23","15,375","15,4","15,175"
19/11/2019,"15,29","15,15","15,4","15,15"
20/11/2019,"15,59","15,3","15,525","15,25"
21/11/2019,"15,625","15,675","15,8","15,65"
22/11/2019,"16,05",16,"16,15","15,95"
25/11/2019,"16,235","16,475","16,475","16,275"
26/11/2019,"15,85",16,"16,045","15,855"
27/11/2019,"15,98","15,95","16,1","15,875"
29/11/2019,"16,33","16,33","16,33","16,33"
02/12/2019,"15,81","15,955",16,"15,8"
03/12/2019,"15,77","15,675","15,835","15,675"
04/12/2019,"15,88","15,6","15,9","15,6"
05/12/2019,"15,415","15,6","15,675","15,575"
06/12/2019,"15,14","15,175","15,275","15,1"
09/12/2019,"14,89","14,775","14,95","14,74"
10/12/2019,"14,53","14,37","14,5","14,31"
11/12/2019,"14,045","14,17","14,17","14,015"
12/12/2019,"14,77","14,15","14,75","14,15"
13/12/2019,"13,805","14,23","14,32","13,8"
16/12/2019,"13,89","13,95","13,95","13,94"
17/12/2019,"14,46","14,47","14,5","14,46"
18/12/2019,"14,95","14,35","15,01","14,35"
19/12/2019,"15,005","14,4","14,975","14,4"
20/12/2019,"14,235","14,075","14,215","14,025"
23/12/2019,"13,025","13,21","13,21","13,065"
24/12/2019,"12,605","12,61","12,61","12,61"
26/12/2019,"12,605","12,605","12,605","12,605"
27/12/2019,"12,765","12,765","12,765","12,765"
30/12/2019,"12,295","12,295","12,295","12,295"
31/12/2019,"12,05","12,05","12,05","12,05"
02/01/2020,"12,075","12,435","12,46","12,135"
03/01/2020,"12,985","12,405","12,75","12,405"
06/01/2020,"12,28","12,695","12,7","12,695"
07/01/2020,"11,93","11,95","12,15","11,865"
08/01/2020,"11,965","11,835","12,05","11,825"
09/01/2020,"12,18","11,925","12,25","11,925"
10/01/2020,"11,94","12,2","12,225","11,95"
